model,local_mse,local_mae,paper_mse,paper_mae,mse_absolute_difference,mae_absolute_difference,mse_percent_difference_from_paper,mae_percent_difference_from_paper,parameters,parameter_reduction_vs_full_percent,training_runtime_seconds,average_seconds_per_epoch,best_epoch
Full XLinear,0.1509373039,0.198953107,0.149,0.198,0.0019373039000000203,0.0009531069999999808,1.3002039597315573,0.48136717171716203,345980,0.0,547.22,27.361,17
XLinear-ES,0.1768046767,0.2164115608,0.175,0.216,0.0018046767000000075,0.00041156080000001594,1.031243828571433,0.1905374074074148,181088,47.6594022775883,282.53,14.126499999999998,10
XLinear-GT,0.1537747383,0.2020685524,0.153,0.2,0.0007747382999999941,0.002068552399999979,0.5063649019607805,1.0342761999999894,321404,7.103300768830569,563.81,28.190499999999997,10
