model,mse,mae,parameters,mse_relative_to_full,mae_relative_to_full,parameters_relative_to_full,seconds_per_epoch,seconds_per_epoch_relative_to_full
Full XLinear,0.1509373039,0.198953107,345980,1.0,1.0,1.0,27.361,1.0
XLinear-ES,0.1768046767,0.2164115608,181088,1.171378261911567,1.0877516016877284,0.523405977224117,14.126499999999998,0.5163005738094367
XLinear-GT,0.1537747383,0.2020685524,321404,1.0187987616492729,1.0156591945055675,0.9289669923116943,28.190499999999997,1.030316874383246
